index,Case,Spacecraft,Condition,SV1,SV2,SV3,SV4,BP1,BP2,BP3,BP4,BP5,BP6,BP7,BV1,binary_condition
29,30,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
30,31,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
31,32,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
32,33,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
33,34,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
34,35,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
35,36,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
36,37,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
37,38,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
38,39,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
39,40,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
40,41,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
41,42,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
42,43,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
43,44,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
44,45,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
45,46,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
46,47,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
47,48,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
48,49,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
49,50,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
50,51,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
51,52,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
52,53,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
53,54,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
54,55,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
55,56,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
56,57,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
57,58,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
58,59,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
59,60,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
60,61,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
61,62,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
62,63,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
63,64,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
64,65,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
65,66,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
66,67,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
67,68,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
68,69,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
69,70,2,1,100,100,100,100,0,0,0,0,0,0,0,0,0
70,71,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
71,72,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
72,73,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
73,74,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
74,75,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
75,76,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
76,77,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
77,78,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
78,79,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
79,80,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
80,81,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
81,82,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
82,83,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
83,84,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
84,85,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
85,86,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
86,87,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
87,88,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
88,89,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
89,90,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
90,91,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
91,92,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
92,93,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
93,94,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
94,95,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
95,96,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
96,97,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
97,98,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
98,99,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
99,100,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
100,101,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
101,102,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
102,103,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
103,104,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
104,105,3,1,100,100,100,100,0,0,0,0,0,0,0,0,0
105,106,1,2,0,100,100,100,0,0,0,0,0,0,0,0,1
106,107,1,2,25,100,100,100,0,0,0,0,0,0,0,0,1
107,108,1,2,50,100,100,100,0,0,0,0,0,0,0,0,1
108,109,1,2,75,100,100,100,0,0,0,0,0,0,0,0,1
109,110,1,2,100,0,100,100,0,0,0,0,0,0,0,0,1
110,111,1,2,100,25,100,100,0,0,0,0,0,0,0,0,1
111,112,1,2,100,50,100,100,0,0,0,0,0,0,0,0,1
112,113,1,2,100,75,100,100,0,0,0,0,0,0,0,0,1
113,114,1,2,100,100,0,100,0,0,0,0,0,0,0,0,1
114,115,1,2,100,100,25,100,0,0,0,0,0,0,0,0,1
115,116,1,2,100,100,50,100,0,0,0,0,0,0,0,0,1
116,117,1,2,100,100,75,100,0,0,0,0,0,0,0,0,1
117,118,1,2,100,100,100,0,0,0,0,0,0,0,0,0,1
118,119,1,2,100,100,100,25,0,0,0,0,0,0,0,0,1
119,120,1,2,100,100,100,50,0,0,0,0,0,0,0,0,1
120,121,1,2,100,100,100,75,0,0,0,0,0,0,0,0,1
121,122,2,2,0,100,100,100,0,0,0,0,0,0,0,0,1
122,123,2,2,25,100,100,100,0,0,0,0,0,0,0,0,1
123,124,2,2,50,100,100,100,0,0,0,0,0,0,0,0,1
124,125,2,2,75,100,100,100,0,0,0,0,0,0,0,0,1
125,126,2,2,100,0,100,100,0,0,0,0,0,0,0,0,1
126,127,2,2,100,25,100,100,0,0,0,0,0,0,0,0,1
127,128,2,2,100,50,100,100,0,0,0,0,0,0,0,0,1
128,129,2,2,100,75,100,100,0,0,0,0,0,0,0,0,1
129,130,2,2,100,100,0,100,0,0,0,0,0,0,0,0,1
130,131,2,2,100,100,25,100,0,0,0,0,0,0,0,0,1
131,132,2,2,100,100,50,100,0,0,0,0,0,0,0,0,1
132,133,2,2,100,100,75,100,0,0,0,0,0,0,0,0,1
133,134,2,2,100,100,100,0,0,0,0,0,0,0,0,0,1
134,135,2,2,100,100,100,25,0,0,0,0,0,0,0,0,1
135,136,2,2,100,100,100,50,0,0,0,0,0,0,0,0,1
136,137,2,2,100,100,100,75,0,0,0,0,0,0,0,0,1
137,138,3,2,0,100,100,100,0,0,0,0,0,0,0,0,1
138,139,3,2,25,100,100,100,0,0,0,0,0,0,0,0,1
139,140,3,2,50,100,100,100,0,0,0,0,0,0,0,0,1
140,141,3,2,75,100,100,100,0,0,0,0,0,0,0,0,1
141,142,3,2,100,0,100,100,0,0,0,0,0,0,0,0,1
142,143,3,2,100,25,100,100,0,0,0,0,0,0,0,0,1
143,144,3,2,100,50,100,100,0,0,0,0,0,0,0,0,1
144,145,3,2,100,75,100,100,0,0,0,0,0,0,0,0,1
145,146,3,2,100,100,0,100,0,0,0,0,0,0,0,0,1
146,147,3,2,100,100,25,100,0,0,0,0,0,0,0,0,1
147,148,3,2,100,100,50,100,0,0,0,0,0,0,0,0,1
148,149,3,2,100,100,75,100,0,0,0,0,0,0,0,0,1
149,150,3,2,100,100,100,0,0,0,0,0,0,0,0,0,1
150,151,3,2,100,100,100,25,0,0,0,0,0,0,0,0,1
151,152,3,2,100,100,100,50,0,0,0,0,0,0,0,0,1
152,153,3,2,100,100,100,75,0,0,0,0,0,0,0,0,1
153,154,1,3,100,100,100,100,1,0,0,0,0,0,0,0,1
154,155,1,3,100,100,100,100,0,1,0,0,0,0,0,0,1
155,156,1,3,100,100,100,100,0,0,1,0,0,0,0,0,1
156,157,1,3,100,100,100,100,0,0,0,1,0,0,0,0,1
157,158,1,3,100,100,100,100,0,0,0,0,1,0,0,0,1
158,159,1,3,100,100,100,100,0,0,0,0,0,1,0,0,1
159,160,1,3,100,100,100,100,0,0,0,0,0,0,1,0,1
160,161,1,3,100,100,100,100,0,0,0,0,0,0,0,1,1
161,162,2,3,100,100,100,100,1,0,0,0,0,0,0,0,1
162,163,2,3,100,100,100,100,0,1,0,0,0,0,0,0,1
163,164,2,3,100,100,100,100,0,0,1,0,0,0,0,0,1
164,165,2,3,100,100,100,100,0,0,0,1,0,0,0,0,1
165,166,2,3,100,100,100,100,0,0,0,0,1,0,0,0,1
166,167,2,3,100,100,100,100,0,0,0,0,0,1,0,0,1
167,168,2,3,100,100,100,100,0,0,0,0,0,0,1,0,1
168,169,2,3,100,100,100,100,0,0,0,0,0,0,0,1,1
169,170,3,3,100,100,100,100,1,0,0,0,0,0,0,0,1
170,171,3,3,100,100,100,100,0,1,0,0,0,0,0,0,1
171,172,3,3,100,100,100,100,0,0,1,0,0,0,0,0,1
172,173,3,3,100,100,100,100,0,0,0,1,0,0,0,0,1
173,174,3,3,100,100,100,100,0,0,0,0,1,0,0,0,1
174,175,3,3,100,100,100,100,0,0,0,0,0,1,0,0,1
175,176,3,3,100,100,100,100,0,0,0,0,0,0,1,0,1
176,177,3,3,100,100,100,100,0,0,0,0,0,0,0,1,1
